Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
DATA SCIENTIST - ENGINEERING,$71K - $126K (Glassdoor est.),"Job Description and Qualifications
Air Products (NYSE: APD) is a world-leading Industrial Gases company in operation for over 75 years, has an immediate opening in our Smart Systems Computational Technology team for a creative and inquisitive engineer based at our Corporate Headquarters in Allentown, Pennsylvania. The AP develops world-scale energy and industrial gases projects provides renewable and sustainable energy solutions as well as atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. Air Products is also the world’s leading supplier of liquefied natural gas process technology and equipment.

Smart System Team is a part of the Computational Technology organization. Air Products Product lines, Engineering, procurement, and construction activities rely on the team to improve the competitiveness of our EPC work process and implement world-class digital solutions to achieve a high-performing project execution organization. The team delivers competitive digital technology advancements for AP across EPC, Product, Operation, and R&D areas, including enterprise applications, unique engineering and R&D data solutions, and data sciences analytics solutions. The research engineers work with the entire Technology, Product Line, EPC, and operational teams, to deliver world-class solutions from data solutions to advanced AI.

The successful candidate will lead projects and development work supporting and deploying world-class unique data and AI technology solutions for AP engineering. The candidate will be leading development projects to design, develop and test data and analytics solutions and supervise software engineers. The candidate will work as part of cross-functional research, engineering, and IT teams developing conceptual and detailed digital solutions, AI analytics, and work automation solutions. This position requires a broad engineering information management background and a deep understanding of data architecture, advanced analytics, and application development. The candidate will be required to solve various problems, which involve complex engineering work processes, complex data relations, advanced analytics, and cloud-based infrastructure. This position involves up to 10% travel to global locations.

Existing project areas where the candidate can expect to be involved include:
The candidate will be expected to learn company processes, software, and cloud infrastructure as needed for specific projects. To that end, the following skills will be beneficial:


At Air Products, we work in an environment where diversity is essential, inclusion is our culture, and each person knows they belong and matter. To learn more, visit About Air Products.

We offer a comprehensive benefits package including paid holidays and vacation, affordable medical, dental, life insurance and retirement plans. You will be eligible for benefits and also be 100% vested in your retirement benefits on your first day of employment.

We are an Equal Opportunity Employer (U.S.). You will receive consideration for employment without regard to race, color, religion, national origin, age, citizenship, gender, marital status, pregnancy, sexual orientation, gender identity and expression, disability, or veteran status.",3.9,"Air Products
3.9","Allentown, PA",-1,10000+ Employees,1940,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
Data Scientist,$78K - $147K (Glassdoor est.),"Job Summary
Selux is a Boston-based company developing clinical microbiology diagnostic solutions to combat the antibiotic resistance epidemic. The company is seeking a self-motivated, versatile Data Scientist to join our Algorithm Team. This position requires advanced knowledge of Python in addition to machine learning skills.
Duties and Responsibilities
Develop and tune machine learning models
Use visualization tools and statistical techniques to identify patterns in data and engineer new features
Communicate model performance, analysis results and tradeoffs to stakeholders
Participate in development and maintenance of Python software that automates creation, training, selection, and evaluation of machine learning pipelines at scale",4.7,"Selux Diagnostics
4.7","Charlestown, MA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
"Scientist, Product Development",$94K - $178K (Glassdoor est.),"Our client is a global leader in cell-free DNA (cfDNA) testing with a focus on women’s health, oncology, and organ health. Who is on a mission is to change the management of disease worldwide by using information gained from a simple blood draw to proactively inform treatment. They are looking for a Scientist who Initiates, directs and executes pre-clinical scientific research and development in the Molecular Biology Research team. Focuses on advancing client’s oncology product portfolio and works within a research team inventing and evaluating new technologies for applications in oncology, transplant and NIPT. Investigates the feasibility of applying a wide variety of scientific principles and concepts to potential inventions, products and problems. Plans, executes and manages laboratory research. Maintains broad knowledge of state-of-the-art principles and theories.
Responsibilities
Contributes substantially and intellectually to research and development
Competitive Benefits. Healthy catered lunches, Premium snacks and beverages, Onsite gym with cardio and weight-training equipment, Game room with satellite TV, Onsite dry cleaning and alteration service with pick-up and delivery, Employee-organized sport leagues, Happy hours and BBQs, Generous Employee Referral program.",4.0,"Bevov
4.0","San Carlos, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Composites Scientist,$98K - $183K (Glassdoor est.),"Composites Scientist
You will have the opportunity to develop state-of-the-art nanomaterials using advanced techniques and instruments for materials characterization in a fast-paced supportive environment with coworkers of diverse backgrounds.
We are a well-funded fast-growing stealth-mode company located in San Jose, CA. Our company has developed a breakthrough technology to custom design and manufacture 3D graphene and other carbon allotropes. Graphene has the promise to transform many industries because of it's astounding properties. It's over 200 times stronger than steel, flexible, transparent, a great thermal conductor and the most conductive material that we know exists. The list of possible applications is expansive including game-changing battery electrodes, transparent touch displays, innovative composite materials, IoT sensors and solar panels just to name a few.

Our leadership team is seasoned in leading startups from an early stage to multibillion-dollar companies. Our development teams have extensive experience in successfully launching products from concept to production. As validation that we are on the forefront of this coming transformation, we have acquired multiple revenue producing commercial and government contracts and have opened a new facility in San Jose to scale our production and accelerate our growth in key product development areas.",-1,Stealth Mode Startup Company,"San Jose, CA",-1,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Senior Composites Scientist,$105K - $192K (Glassdoor est.),"Senior Composites Scientist
You will have the opportunity to provide hands-on technical leadership developing state-of-the-art nanomaterials using advanced techniques and instruments for materials characterization in a fast-paced supportive environment with coworkers of diverse backgrounds.
We are a well-funded fast-growing stealth-mode company located in San Jose, CA. Our company has developed a breakthrough technology to custom design and manufacture 3D graphene and other carbon allotropes. Graphene has the promise to transform many industries because of it's astounding properties. It's over 200 times stronger than steel, flexible, transparent, a great thermal conductor and the most conductive material that we know exists. The list of possible applications is expansive including game-changing battery electrodes, transparent touch displays, innovative composite materials, IoT sensors and solar panels just to name a few.
Our leadership team is seasoned in leading startups from an early stage to multibillion-dollar companies. Our development teams have extensive experience in successfully launching products from concept to production. As validation that we are on the forefront of this coming transformation, we have acquired multiple revenue producing commercial and government contracts and have opened a new facility in San Jose to scale our production and accelerate our growth in key product development areas.",-1,Stealth Mode Startup Company,"San Jose, CA",-1,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Senior Data Engineer,$81K - $155K (Glassdoor est.),"CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

Our team is looking for a talented, motivated, and high-performing Senior Data Engineer to join our team.
Key Responsibilities
Serve as a technical lead on initiatives, projects and implementations.
Support and develop data flows by developing processes that verify, standardize, and scale data input, transformation and storage.",3.6,"CareJourney
3.6","Arlington, VA",-1,51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Business Analytics Manager,-1,"Purpose and Scope
The Business Analytics Manager leads the demand planning process for the commercial team including collecting the volume and pricing data from all key data sources, as well as compiling the business understanding and assumptions that will be included in the forecast for the purpose of forecast for business planning decisions. This role is also responsible for working cross functionally to determine forecast assumptions and inputs with the manufacturing operations planning, accounting, contracts and pricing, sales leadership, market access, and marketing. Those assumptions will be incorporated into the forecast, vetted with the cross functional team, and adjusted as needed to gain agreement for senior leadership.

Essential Duties & Responsibilities
Builds the commercial demand and revenue forecast to TPI commercial business.",-1,Tolmar Pharmaceuticals Inc,"Buffalo Grove, IL",-1,-1,-1,-1,-1,-1,-1,-1
Application Scientist,$63K - $119K (Glassdoor est.),"TriLink BioTechnologies is actively responding to the COVID-19 pandemic through vaccine and diagnostic programs.
TriLink BioTechnologies, a Maravai LifeSciences company, is seeking a Application Scientist to join our growing team. This role is responsible for developing relationships with external partners and customers in support of identifying innovative and long-term opportunities to create value for the client and TriLink Biotechnologies. Drive core and strategic revenue growth via the development of content and insight/data contributions to multi-channel marketing campaigns to support the company's long-term growth objectives: publicly present data and comprehensive product education. Successful performance increases overall TriLink revenue, profitability, and market share by driving product awareness, adoption, and utilization by customers.
A technical resource that can answer advanced customer inquiries and support TriLink scientific credibility, further demonstrating the company's expertise in our core markets. The application scientist role is expected to perform as technical support, conference presenter, webinar presenter, ""lunch and learn"" field representation.",3.0,"TriLink BioTechnologies
3.0","San Diego, CA",-1,51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
Data Science and Engineering Director,$91K - $187K (Glassdoor est.),"Logistics done differently.
At XPO Logistics, we believe state-of-the-art technology drives our success. As the Data Science and Engineering Director, you will be responsible for end-to-end solutions for our data science and machine learning capabilities such as selection, development, execution and operations. You will also play a pivotal part in the evolution and growth of our data science, artificial intelligence (AI) and machine learning capabilities. We want to leverage your skills and years of experience to drive positive results while ensuring a bright future for yourself and XPO.

Pay, benefits and more.
We are eager to attract the best, so we offer competitive compensation and a generous benefits package, including full health insurance (medical, dental and vision), 401(k), life insurance, disability and the opportunity to participate in a company incentive plan.",3.6,"XPO Logistics
3.6","Portland, OR",-1,10000+ Employees,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),-1
Customer Analytics Manager,$77K - $167K (Glassdoor est.),"Overview:
Are you looking for a role where you can directly influence an organization in high growth mode? Do you have a knack for solving problems? Do you want to help drive the results of a multi-million-dollar business? If so, you may have found your next role.

We are looking for a self-motivated individual to join our Analytics organization and deliver data-driven insights to key stakeholders at the executive and senior management level. The role will require managing a 360° analytical view of the customer lifecycle and product strategy; you will be accountable for delivering comprehensive analyses to increase lifetime customer value (LCV), decrease customer acquisition cost (CAC), examine macro trends impacting our business and improve retention.

The role currently manages an analyst resources and expect additional team growth within over the next year. The ideal candidate will come with management experience. This role will also require developing strong relationships with executives, senior leaders, and managers across the organization. Intellectual curiosity, ownership, and detail-orientation are requirements for the role and the department.

Responsibilities:
Qualifications:",3.8,"Strategic Financial Solutions
3.8","New York, NY",-1,501 to 1000 Employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1
