Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Staff Data Scientist,$79K - $146K (Glassdoor est.),"Company Description

Vericast is a premier marketing solutions company that accelerates profitable revenue growth for the 70,000 businesses it serves directly by influencing consumer purchasing and transaction behavior at scale while engaging with over 120 million households daily. Its major business units, Valassis, Harland Clarke, Save.com, and QuickPivot are recognized as leading providers of incentives, advertising, marketing services, transaction solutions, customer data and cross-channel campaign management, and intelligent media delivery that create millions of customer touch points annually for their clients. For more information, visit http://www.vericast.com or follow Vericast on LinkedIn.

Job Description",3.7,"Vericast
3.7","Morrisville, NC",-1,10000+ Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,-1,"Introduction
The Data Scientist will play a leading strategic role on Thermo Fisher Scientific’s Digital Innovation Services Data Science team. This position will develop and maintain cutting-edge machine learning systems. In this role you will push the boundaries of remote instrument technology through optimization of cloud ecosystems and complex data integration.
The ideal candidate has extensive data modeling, algorithm development, data engineering, database software development and database operation experience to design, build, and implement state-of-the art predictive models using a combination of statistical, mechanistic, signal processing, and machine learning approaches.
This position is hands-on, highly technical, with a high sense of urgency for daily tasks, a calculated, strategic approach for long term success and will be a core Digital Innovation Services member with extensive partnerships among business unit SMEs focused on integrating digital enablement across our instrument products to stream telemetry data and pioneering novel technologies.",3.8,"Thermo Fisher Scientific
3.8",California,-1,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Quantitative Researcher / Trader – High Frequency Futures,$77K - $155K (Glassdoor est.),"We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a nascent effort within a successful proprietary trading firm.
Responsibilities
Conduct data analysis on large datasets to generate profitable trading alphas.
Define key metrics for model validation.
Back testing and production performance monitoring.
Contribute to in-house data analysis packages and research framework development.",4.2,"Wolverine Trading
4.2","Chicago, IL",-1,201 to 500 Employees,1994,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),-1
Research Scientist,$68K - $135K (Glassdoor est.),"Company Description

Avery Dennison (NYSE: AVY) is a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials. The company’s products, which are used in nearly every major industry, include pressure-sensitive materials for labels and graphic applications; tapes and other bonding solutions for industrial, medical, and retail applications; tags, labels and embellishments for apparel; and radio frequency identification (RFID) solutions serving retail apparel and other markets. Headquartered in Glendale, California, the company employs more than 30,000 employees in more than 50 countries. Reported sales in 2020 were $7.0 billion. Learn more at www.averydennison.com.

Job Description

Avery Dennison is seeking a dynamic individual to join the global Polymers, Adhesive and Coatings Center of Excellence (PACE) in Avery Dennison Label and Graphic Materials. The Research Principal will identify, develop and deploy new technology platforms to advance Avery Dennison’s innovation strategies and provide critical expertise in pressure sensitive adhesive chemistry and applications. The successful candidate will help translate business strategy to technical needs, engage internally and externally to identify and assess new ideas, and develop fundamental understanding necessary to bring new chemistry from idea to commercial success.",3.9,"Avery Dennison
3.9","Mill Hall, PA",-1,10000+ Employees,1935,Company - Public,Miscellaneous Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
Sr. Data Scientist,$60K - $130K (Glassdoor est.),"About Karus:
Karus is a credit intelligence platform that powers real-time decisions. Using data aggregation and mining, signal processing, and machine learning, The Karus Platform delivers cash flow inputs to investors, lenders, and originators.
Position Summary (Data scientist):
As a data scientist for Karus, you will be entrusted with significant responsibility. The primary function of this role will be to support our data science and machine learning workstreams. We are looking for a candidate who will grow into a leadership role with us.
Responsibilities:",-1,"Karus, Inc.","Boise, ID",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,$70K - $130K (Glassdoor est.),"Basic Qualifications :
Bachelor's degree in Engineering, Computer Science, Statistics, Applied Math is required plus a minimum of 2 years relevant experience or Master’s degree in a related technical discipline

CLEARANCE REQUIREMENTS:
A TS/SCI security clearance with the ability to obtain a Polygraph is required at time of hire. Candidates must be able to obtain the Polygraph within a reasonable amount of time from date of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
Developing mission-critical systems that help keep people safe is what we do. At General Dynamics Mission Systems, you’ll be part of the team that helps heroes make a true impact. The work we do is important. The challenges we face are career-defining. The opportunity we can offer is one-of-a-kind.

We apply advanced technologies such as Artificial Intelligence, Blockchain, AR/VR, Cloud Native and Quantum Physics to solve our customers’ missions in cyber, RF, undersea, interstellar space and everything in between.

As a Data Engineer, you’ll lead model and simulation activities as you participate in requirements analysis and management, functional analysis, performance analysis, system design, trade studies, systems integration and test (verification). It’s your chance to step up to the challenge and prove you’re ready to lead the world.



Company Overview:",3.9,"General Dynamics Mission Systems, Inc
3.9","Chantilly, VA",-1,10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
Business Analytics Manager,-1,"Purpose and Scope
The Business Analytics Manager leads the demand planning process for the commercial team including collecting the volume and pricing data from all key data sources, as well as compiling the business understanding and assumptions that will be included in the forecast for the purpose of forecast for business planning decisions. This role is also responsible for working cross functionally to determine forecast assumptions and inputs with the manufacturing operations planning, accounting, contracts and pricing, sales leadership, market access, and marketing. Those assumptions will be incorporated into the forecast, vetted with the cross functional team, and adjusted as needed to gain agreement for senior leadership.

Essential Duties & Responsibilities
Builds the commercial demand and revenue forecast to TPI commercial business.",-1,Tolmar Pharmaceuticals Inc,"Buffalo Grove, IL",-1,-1,-1,-1,-1,-1,-1,-1
"Data Engineer – Fairfax, VA",$81K - $152K (Glassdoor est.),"Vibrent, a rapidly growing health-tech company, is looking for a Data Engineer to support Vibrent’s data-driven approach to health, as we explore data from multiple disparate sources to discover patterns and hidden insights.
We’re looking for candidates who thrive in professional, strategic and innovative user-focused environments, and who are committed to delivering quality products and/or services. The candidate must be able to think independently, analyze, troubleshoot and resolve complex business and technical problems.
You will work with very large, complex, cloud-based scientific datasets and help identify and answer questions that will shape scientific studies. The work that you do will contribute to improving the health of people across the nation.
You will be responsible for developing, optimizing and maintaining code and data pipelines.
Responsibilities",3.2,"Vibrent Health
3.2","Fairfax, VA",-1,51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Scientist - Immunology,$71K - $174K (Glassdoor est.),"Scientist - Immunology
Uniquely positioned to enhance quality of life in aging, at Alkahest, we are pioneering science that is rapidly being translated to the clinic. Our approaches utilize in vivo, in vitro, proteomic, and molecular techniques to identify new therapeutics and apply them to patients.
We are seeking a highly motivated and driven team member who will be key in advancing our immune-related scientific activities. Alkahest is developing therapies to address disorders of the central and peripheral nervous system that occur with aging, with a particular emphasis on disease where neuroinflammation is an important component. The selected candidate will use a combination of animal and human studies to assess the relationship of our drug candidates with immune mechanisms through techniques best suited for clinical translation. The role is critical in providing clinical tools to advance our therapeutic understandings of immune-related mechanisms and bridging the gap between preclinical and clinical findings. The role requires dedication, flexibility, excellent communication and organization, and will interact with teams from research, clinical and clinical operations departments to drive multiple projects in parallel.",-1,"Alkahest, Inc.","San Carlos, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,$59K - $123K (Glassdoor est.),"Database Developer
Job Summary
The Data Engineer will collaborate with business owners, users, consultants and technicians to assist in the implementation of a comprehensive data strategy for Embrace. It will be the primary responsibility of this role to execute on tasks along the roadmap and to ensure proposed solutions align to the roadmap, principles, and policies. In addition, the Data Engineer will identify potential new areas for focus and create additional definition and clarity around existing areas that are not fully defined or understood.
Responsibilities & Activities
The role will be responsible for functions including:",4.1,"Embrace Home Loans
4.1","Middletown, RI",-1,501 to 1000 Employees,1983,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),-1
