Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Research Data Scientist,$71K - $136K (Glassdoor est.),"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",3.8,"Intelligent Automation
3.8","Rockville, MD",-1,51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),-1
Data Scientist (Manager),$56K - $111K (Glassdoor est.),"**** There is no relocation assistance offered for this role ****
As a team, we are committed to building relationships with the people who care for our patients. Our employees are our number one client and we lead as a faith-based company from the heart.
We are committed to develop teams who can truly make a difference for our patients and employees.
GENERAL PURPOSE: The Data Scientist (Manager) will support the growing needs around data-driven decision making in the organization and own process of deriving key insights from advanced analytics to achieve short- and long-term financial targets. The data scientist will involve data exchange process analysis, design, development, unit testing, and support. This role would be responsible for building out a team of analysts, engineers, and scientists to predict, develop processing and identify other reporting needs. This position requires strong technical and analytical skills to review business processes and data, recommend solutions, conduct functional and code analyses, and lead and perform database development tasks. This position will also involve production support and require experience within a DevOps environment.",3.1,"Pathways
3.1","Richardson, TX",-1,5001 to 10000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Research Scientist I - Essentia,$68K - $147K (Glassdoor est.),"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience",3.1,"The Lauridsen Group
3.1","Ankeny, IA",-1,501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
BI/Data Analyst,$42K - $87K (Glassdoor est.),"The BI / Data Analyst will work with the Clinical Operations and Software Development teams, in addition to external NaphCare Customers, to develop and delive r professional quality reports, data extracts, and analytical dashboards . The Analyst must successfully develop, maintain and produce accurate information extracted from NaphCare’s healthcare software systems. This role must be technically sound and have a proven history of data analysis experience in the healthcare industry. Most importantly, the successful candidate will demonstrate initiative, the ability to work independently and manage tasks with minimal supervision.
Position Expectations:
Work with internal and external customers to develop reporting procedures, understand their reporting needs, present various reporting options and guide the customer to the solution that best meets their needs.",3.2,"NaphCare, Inc.
3.2","Birmingham, AL",-1,501 to 1000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
CLINICAL LABORATORY SCIENTIST,$52K - $95K (Glassdoor est.),"White Plains Hospital Job Description
Title: Clinical Laboratory Scientist Job Code: 500285
Department/Location: Department of Laboratories FLSA Status: NE
Reports to: Section Laboratory Supervisor
Position Summary
The Clinical Laboratory Scientist performs laboratory testing using both manual and automated techniques. Performs

Location: White Plains Hospital · Lab Microbiology
Schedule: Part Time, Evening, three evenings/week/ alternating holidays",3.9,"White Plains Hospital
3.9","White Plains, NY",-1,1001 to 5000 Employees,1893,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Physical Scientist,$56K - $114K (Glassdoor est.),"Who?
U.S. Customs and Border Protection (CBP), Teleforensic Center
What?
Customs and Border Protection (CBP) is hiring for Physical Scientist (GS-11/12) - $72,000 - $113,000 per year (Sterling, VA) - (see position description below).
Where?
One – Sterling, Virginia
Who May Apply?
ONLY: Military Spouses, Veterans, and Military within Four Months of Separating with the qualifications as indicated in below position description.",4.0,"U.S. Customs and Border Protection
4.0","Sterling, VA",-1,10000+ Employees,1927,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
"City Research Scientist, Policy and Planning",$59K - $118K (Glassdoor est.),"DEPARTMENT OF SANITATION
Job Posting Notice
Job ID
463210
Business Title
City Research Scientist, Policy and Planning
Civil Service Title
CITY RESEARCH SCIENTIST
Title Classification
Non-Competitive
Job Category
Constituent Services & Community Programs, Technology, Data & Innovation, Policy, Research & Analysis
Career Level
Experienced (non-manager)",3.9,"DEPARTMENT OF SANITATION
3.9","New York, NY",-1,5001 to 10000 Employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1
Data Analyst & BI Specialist,$43K - $85K (Glassdoor est.),"Southworth Products, located in Falmouth, Maine, has an immediate opening for a Data Analyst & BI Specialist.
Southworth is the world’s largest manufacturer of ergonomic material handling equipment for vertical lifting and work positioning. Our products are designed to improve worker productivity while reducing the potential for worker injuries. Anywhere that workers are lifting and positioning items, handling pallets, working with parts in containers or transporting loads in a factory or warehouse, Southworth has a product to make the job faster, safer, and, easier.
We realize that our success is a direct result of the efforts of our talented and dedicated employees. To ensure continued success we take extra care to make sure that careers at Southworth are financially, intellectually, emotionally, and socially rewarding for all.
Responsibilities include, but are not limited to:",-1,Southworth Products Corp.,"Falmouth, ME",-1,-1,-1,-1,-1,-1,-1,-1
"Sr. Scientist, Nanoparticles",$53K - $105K (Glassdoor est.),"Who we are: The Secant Group is an advanced technology biomaterials company headquartered in Telford, Pennsylvania, with manufacturing facilities in Quakertown and Perkasie, Pennsylvania. Secant provides innovative solutions through next-generation materials, structures, textile designs, and process technologies for the medical device, pharmaceutical, aerospace and energy markets.
What we're looking for: Based in our Telford, PA facility, the Sr. Scientist will be primarily responsible for driving early-stage research centered on developing novel and innovative particle technology for cell and gene therapies. Working among an interdisciplinary team, the Sr. Scientist will be responsible for identifying and providing enabling microparticle and nanoparticle technologies, which includes bringing a product from concept through design, prototyping and development testing. This individual will interface with both internal and external stakeholders and collaborators.",2.7,"SECANT GROUP, LLC
2.7","Telford, PA",-1,51 to 200 Employees,-1,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Supply Chain Data Analyst,$65K - $79K (Employer est.),"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.",3.6,"Uline
3.6","Pleasant Prairie, WI",-1,5001 to 10000 Employees,1980,Company - Private,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
