Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,-1,"Introduction
The Data Scientist will play a leading strategic role on Thermo Fisher Scientific’s Digital Innovation Services Data Science team. This position will develop and maintain cutting-edge machine learning systems. In this role you will push the boundaries of remote instrument technology through optimization of cloud ecosystems and complex data integration.
The ideal candidate has extensive data modeling, algorithm development, data engineering, database software development and database operation experience to design, build, and implement state-of-the art predictive models using a combination of statistical, mechanistic, signal processing, and machine learning approaches.
This position is hands-on, highly technical, with a high sense of urgency for daily tasks, a calculated, strategic approach for long term success and will be a core Digital Innovation Services member with extensive partnerships among business unit SMEs focused on integrating digital enablement across our instrument products to stream telemetry data and pioneering novel technologies.",3.8,"Thermo Fisher Scientific
3.8",California,-1,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
DATA SCIENTIST,$62K - $121K (Glassdoor est.),"Overview:
PURPOSE:
Perform functions including support, analysis, and business process development with the ability to work across multiple departments including farming, operations and sales.

ESSENTIAL JOB FUNCTIONS:
Mine and analyze data from company databases and create apps and reports to drive optimization and improvement of agriculture operations
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Develop custom data models and algorithms to apply to data sets
Use predictive modeling and linear programming optimize agriculture operations
Develop company A/B testing framework and test model quality
Additional Info:

Benefits:",3.8,"Grimmway Enterprises
3.8","Bakersfield, CA",-1,1001 to 5000 Employees,-1,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD),-1
Quantitative Researcher / Trader – High Frequency Futures,$77K - $155K (Glassdoor est.),"We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a nascent effort within a successful proprietary trading firm.
Responsibilities
Conduct data analysis on large datasets to generate profitable trading alphas.
Define key metrics for model validation.
Back testing and production performance monitoring.
Contribute to in-house data analysis packages and research framework development.",4.2,"Wolverine Trading
4.2","Chicago, IL",-1,201 to 500 Employees,1994,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),-1
Research Scientist,$68K - $135K (Glassdoor est.),"Company Description

Avery Dennison (NYSE: AVY) is a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials. The company’s products, which are used in nearly every major industry, include pressure-sensitive materials for labels and graphic applications; tapes and other bonding solutions for industrial, medical, and retail applications; tags, labels and embellishments for apparel; and radio frequency identification (RFID) solutions serving retail apparel and other markets. Headquartered in Glendale, California, the company employs more than 30,000 employees in more than 50 countries. Reported sales in 2020 were $7.0 billion. Learn more at www.averydennison.com.

Job Description

Avery Dennison is seeking a dynamic individual to join the global Polymers, Adhesive and Coatings Center of Excellence (PACE) in Avery Dennison Label and Graphic Materials. The Research Principal will identify, develop and deploy new technology platforms to advance Avery Dennison’s innovation strategies and provide critical expertise in pressure sensitive adhesive chemistry and applications. The successful candidate will help translate business strategy to technical needs, engage internally and externally to identify and assess new ideas, and develop fundamental understanding necessary to bring new chemistry from idea to commercial success.",3.9,"Avery Dennison
3.9","Mill Hall, PA",-1,10000+ Employees,1935,Company - Public,Miscellaneous Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
Business Analytics Manager,-1,"Purpose and Scope
The Business Analytics Manager leads the demand planning process for the commercial team including collecting the volume and pricing data from all key data sources, as well as compiling the business understanding and assumptions that will be included in the forecast for the purpose of forecast for business planning decisions. This role is also responsible for working cross functionally to determine forecast assumptions and inputs with the manufacturing operations planning, accounting, contracts and pricing, sales leadership, market access, and marketing. Those assumptions will be incorporated into the forecast, vetted with the cross functional team, and adjusted as needed to gain agreement for senior leadership.

Essential Duties & Responsibilities
Builds the commercial demand and revenue forecast to TPI commercial business.",-1,Tolmar Pharmaceuticals Inc,"Buffalo Grove, IL",-1,-1,-1,-1,-1,-1,-1,-1
RN Scientist-Research (Magnet Sites),$52K - $104K (Glassdoor est.),"We Are Hiring:
Ascension Seton is hiring a RN to conduct research studies, assist bedside nurses with research, and support CNOs at Magent sites with research. Previous research experience coupled with leadership experience, and a PHD are strongly preferred.

Schedule Monday-Friday 8-4:30PM

Magnet Recognition®
Magnet Recognition®, given by the American Nurses Credentialing Center, is the only national designation that recognizes nurses as integral team members in influencing positive patient outcomes. The nursing practice environment at Ascension Seton supports shared governance, interdisciplinary collaboration, leadership, quality, safety, professional development and work-life balance. The focus of Magnet is . Research has demonstrated that nurse satisfaction and patient outcomes are higher in Magnet hospitals than in other hospitals.
What You Will Do:
What You Will Need:
Why Join Our Team:



Equal Employment Opportunity Employer:",3.5,"Ascension
3.5","Austin, TX",-1,10000+ Employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1
Consumer Lending Data Analyst II,$53K - $106K (Glassdoor est.),"We are searching for a Consumer Lending Data Analyst II to research and analyze data in order to make strategic business recommendations. In this role, you will perform competitor research to enhance our product strategy and direction. Having 3 years' experience in a complex analyst role will help you succeed in this role. Additionally, having an understating of lending principals and risk metrics will help the candidate be successful.


Here's what you can expect from the job and what you need to be successful:
Job Duties:
Create regular and ad-hoc reports by querying relational databases
Uncover actionable insights for increased product performance",3.6,"First Tech Federal Credit Union
3.6","Hillsboro, OR",-1,1001 to 5000 Employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1
Application Scientist,$63K - $119K (Glassdoor est.),"TriLink BioTechnologies is actively responding to the COVID-19 pandemic through vaccine and diagnostic programs.
TriLink BioTechnologies, a Maravai LifeSciences company, is seeking a Application Scientist to join our growing team. This role is responsible for developing relationships with external partners and customers in support of identifying innovative and long-term opportunities to create value for the client and TriLink Biotechnologies. Drive core and strategic revenue growth via the development of content and insight/data contributions to multi-channel marketing campaigns to support the company's long-term growth objectives: publicly present data and comprehensive product education. Successful performance increases overall TriLink revenue, profitability, and market share by driving product awareness, adoption, and utilization by customers.
A technical resource that can answer advanced customer inquiries and support TriLink scientific credibility, further demonstrating the company's expertise in our core markets. The application scientist role is expected to perform as technical support, conference presenter, webinar presenter, ""lunch and learn"" field representation.",3.0,"TriLink BioTechnologies
3.0","San Diego, CA",-1,51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
Senior Data Engineer,$81K - $155K (Glassdoor est.),"CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

Our team is looking for a talented, motivated, and high-performing Senior Data Engineer to join our team.
Key Responsibilities
Serve as a technical lead on initiatives, projects and implementations.
Support and develop data flows by developing processes that verify, standardize, and scale data input, transformation and storage.",3.6,"CareJourney
3.6","Arlington, VA",-1,51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Composites Scientist,$98K - $183K (Glassdoor est.),"Composites Scientist
You will have the opportunity to develop state-of-the-art nanomaterials using advanced techniques and instruments for materials characterization in a fast-paced supportive environment with coworkers of diverse backgrounds.
We are a well-funded fast-growing stealth-mode company located in San Jose, CA. Our company has developed a breakthrough technology to custom design and manufacture 3D graphene and other carbon allotropes. Graphene has the promise to transform many industries because of it's astounding properties. It's over 200 times stronger than steel, flexible, transparent, a great thermal conductor and the most conductive material that we know exists. The list of possible applications is expansive including game-changing battery electrodes, transparent touch displays, innovative composite materials, IoT sensors and solar panels just to name a few.

Our leadership team is seasoned in leading startups from an early stage to multibillion-dollar companies. Our development teams have extensive experience in successfully launching products from concept to production. As validation that we are on the forefront of this coming transformation, we have acquired multiple revenue producing commercial and government contracts and have opened a new facility in San Jose to scale our production and accelerate our growth in key product development areas.",-1,Stealth Mode Startup Company,"San Jose, CA",-1,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
