Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,-1,"Data & Analysis – Data Scientist

Digitas is a highly-caffeinated playground where brilliant minds come together to bring bold, award-winning ideas to life.

The Data & Analysis team uses data-driven insights to fuel strategic growth for clients. We believe that data should never exist in a vacuum; instead, it should be put to work to bring the best ideas and stories to our clients.

Digitas’ Data Science practice sits within our DNA (Data & Analysis) capability, and develops industry-leading analytical solutions for clients across industries, channels and business functions. We apply a bespoke and cutting-edge arsenal of statistical, analytical and computing techniques to complex data problems at scale, with an emphasis on game-changing—and measureable—business impact. We work in close collaboration with colleagues across all agency disciplines to develop truly innovative, highly effective, data-powered solutions for our clients.

To help with this, we’re looking for an outstanding Data Scientist – an intellectually curious and creative problem solver who is willing to tackle the familiar and unfamiliar of all things data, including methods, technologies and applications. Sound like you? Read on.


Our Data Scientists deliver analytic solutions across a wide variety of client applications. We build inferential and predictive models, including machine learning algorithms and AI; we process, integrate and manipulate big data with distributed systems and customer data pipelines; we synthesize results and translate findings into compelling stories that resonate with clients.

As a Data Scientist , you’ll address complex marketing and business challenges—from cross-channel media and customer experience optimization to segmentation, targeting and business strategy—by accessing, integrating, manipulating, mining and modeling a wide array of data sources.",3.7,"Digitas
3.7","New York, NY",-1,5001 to 10000 Employees,1980,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Graduate Data Scientist (Remote),-1,"Company Description

Medable's mission is to get effective therapies to patients faster. We provide an end-to-end, cloud-based platform with a flexible suite of tools that allows patients, healthcare providers, clinical research organizations and pharmaceutical sponsors to work together as a team in clinical trials. Our solutions enable more efficient clinical research, more effective healthcare delivery, and more accurate precision and predictive medicine. Our target audiences are patients, providers, principal investigators, and innovators who work in healthcare and life sciences.
Our vision is to accelerate the path to human discovery and medical cures. We are passionate about driving innovation and empowering consumers. We are proactive, collaborative, self-motivated learners, committed, bold and tenacious. We are dedicated to making this world a healthier place.",4.2,"Medable
4.2","Palo Alto, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
"Data Scientist, Machine Learning",-1,"Discord is looking for passionate data scientists to join our team! As a member of the Data Science & Analytics team, you'll use your expertise in machine learning to help Discord achieve its mission of providing people with belonging in online communities, by collaborating directly with the teams who design, build, and support Discord. If you're passionate about data, impact, and working on an amazing team, read on!

You will:
Apply state-of-the-art machine learning techniques to provide a deeper understanding of product, users, and communities
Build predictive models, apply causal inference techniques, and design and analyze experiments to support high impact company initiatives
Ideate, communicate, and and partner directly with product, engineering, and business teams to improve decision-making and drive impact

You have (you don't need all of these to apply!):
Deep technical expertise in machine learning and applied statistics
Experience applying machine learning and statistical knowledge to solve ambiguous business problems
Deep technical expertise in machine learning fundamentals, applied machine learning, and statistical modeling
Experience writing excellent Python or R
Excellent communication skills, with the ability to deliver complicated findings and explain technical approaches to a variety of audiences
A desire to work with amazing, passionate people who care deeply about solving challenging problems to improve Discord
Last but not least - a collaborative attitude and a healthy dose of natural curiosity!

Bonus Points

Experience in the design and analysis of A/B tests in a fast-paced environment at scale
Proficiency in SQL
Passion for Discord or online communities
Experience with social media or international subscription-based online services, including familiarity with concepts such as social graphs, LTV modeling, user segmentation, etc
Experience using a BI visualization tool like Tableau or Looker to surface model results, monitor performance, etc

Benefits and Perks

Medical insurance including Health, Dental, Vision
20 paid holidays
Unlimited sick days
Parental Leave and fertility benefits
Transgender benefits
Supported-employee clubs and Employee Resource Groups
Commuter Contributions of $270 a month (pre-tax)
Daily lunches and unlimited snacks
Monthly gym and fitness stipend

Discord is an equal opportunity employer committed to promoting an inclusive work environment free of discrimination and harassment. We value diversity, inclusion, and aim to provide a sense of belonging for everyone.

#LI-GB1",4.6,"Discord
4.6","San Francisco, CA",-1,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),-1
Data Scientist,-1,"Pluto TV, a ViacomCBS company, is the leading free streaming television service in America, delivering 250+ live and original channels and thousands of on-demand movies in partnership with major TV networks, movie studios, publishers, and digital media companies. Pluto TV is available on all mobile, web and connected TV streaming devices and millions of viewers tune in each month to watch premium news, TV shows, movies, sports, lifestyle, and trending digital series. Headquartered in West Hollywood, Pluto TV has offices in New York, Silicon Valley, Chicago and Berlin.

Overview & Responsibilities:
We are looking for a Data Scientist to join the Pluto TV team! You will use advanced statistical methods to proactively resolve business problems for the supported business unit.
The Data Scientist will be supporting one, or more, of the following groups: Marketing, Distribution, Revenue, Engineering, Entertainment, Retention, and Innovation. This role will be part of the Business Intelligence team and will be reporting to the Head of Data Science, Analytics, and Data Engineering.
This is a meaningful role with a wide range of responsibilities, including:
Building models (e.g. content scoring, revenue attribution, etc.)
Servicing multiple ad hoc requests in a timely manner
Providing data analysis and recommendations to the business group to make significantly more data directed decisions
Supporting the business group by building and proactively suggesting reports and dashboards that would be useful for that group
Using A/B and Multivariate testing methodology for product and feature improvements.
Ensuring regularity and standardization in data, metrics, and analysis.


1 to 3 years of commercial experience in a data analyst or data scientist role
Masters or PhD degree in Statistics, Math, Economics, Computer Science or equivalent


Expertise in statistical data mining techniques (i.e GLM/Regression, Random Forest, Boosting, Trees, Text Mining, Social Network Analysis, etc)
Comfortable questioning and challenging customers to understand their requirements to reach the best solutions Mastery in SQL and Tableau, D3 or similar data visualization products (PowerBI, MicroStrategy, Looker, etc.)
Strong scripting skills, particularly in Python (as opposed to SQL scripting) in order pull data from SQL and non-SQL sources
Experience and comfort working with unstructured/non-standardized data
Experience as an analyst or data scientist in one or more of the following domains strongly preferred: Marketing, Distribution, Revenue, Customer Retention, Engineering, and/or Entertainment

ViacomCBS is an equal opportunity employer (EOE) including disability/vet.

At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",3.5,"Pluto TV
3.5","New York, NY",-1,51 to 200 Employees,2014,Company - Private,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1
Data Scientist,-1,"There are 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we’re all about at John Deere. And it’s why we’re investing in our people and our technology like never before in our 175-year history. Here the world’s brightest minds are tackling the world’s biggest challenges. If you believe one person can make the world a better place, we’ll put you to work. RIGHT NOW.

Primary Location: United States (US) - Iowa - Ottumwa
Function: Data Science & Analytics
Title: Data Scientist - 74697

Your Position:",4.0,"John Deere
4.0","Ottumwa, IA",-1,10000+ Employees,1837,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist - Virtual/Remote,-1,"Our Mission
Lumen Energy is automating clean energy deployment across our cites.
To start, we’re making getting a fully-financed solar energy system for a commercial building as easy as applying for a credit card. The scope of the opportunity is massive: out of 6 million commercial buildings in the US which are responsible for 16% of all greenhouse gas emissions, most of which could save money with solar, fewer than 4% have solar systems today.
We make clean energy widely accessible by abstracting away the complexity of an underlying marketplace of installers, financiers and confusing electrical jargon. Our challenge is to parse massive datasets, deploy advanced models behind the scenes, pre-package financing, all so that we can deliver a simple, delightful, and actionable offer to our customers.",-1,Lumen Energy,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$120K,"Job Summary
Selux is a Boston-based company developing clinical microbiology diagnostic solutions to combat the antibiotic resistance epidemic. The company is seeking a self-motivated, versatile Data Scientist to join our Algorithm Team. This position requires advanced knowledge of Python in addition to machine learning skills.
Duties and Responsibilities
Develop and tune machine learning models
Use visualization tools and statistical techniques to identify patterns in data and engineer new features
Communicate model performance, analysis results and tradeoffs to stakeholders
Participate in development and maintenance of Python software that automates creation, training, selection, and evaluation of machine learning pipelines at scale",4.7,"Selux Diagnostics
4.7","Charlestown, MA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,Employer Provided Salary:$75K - $125K,"POSITION: WEB DEVELOPER
DIVISION: LAW ENFORCEMENT
SCHEDULE: FULL-TIME/PART-TIME/CONTRACT
LOCATION: REMOTE OR IN-PERSON (NYC/DENVER)
MK Analytics is looking for a full-time Web Developer for its Law Enforcement Division. Developers work directly with the co-founders to continue development on a platform that is helping stop gun trafficking in Baltimore and other locations in partnership with Everytown for Gun Safety. Ideal candidates are positive self-starters that can work in a deadline-driven environment. Developers should be able to draft reproduceable and efficient code using industry-standard practice.
MK Analytics, a women-owned data mining and analytics business, provides innovative data services to legal, law enforcement, and government clients. With a proven record, the co-owners have fifteen years of combined experience in the public and private sectors providing newsworthy analysis and applications. We collaborate with our clients to create connections in disparate and messy data and provide analysis that others have declared impossible.",-1,MK Analytics,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$19 - $24 Per Hour,"NumberOne AI, Inc., headquartered in Newport Beach, California, is a fast-growing and innovative Artificial Intelligence and Machine Learning (AI/ML) company dedicated to solving the number one problems in the world through the commercial application of data science. We are market and problem agnostic in our search to solve the biggest challenges in the world with AI. We develop innovative software, hardware and cloud solutions that extend and improve the lives of people around the world. Innovation is our history and our passion.
To learn more about us, please visit: www.numberone.ai
Job Summary:
As a Data Scientist, you will work on projects critical to NumberOne’s needs with opportunities of both personal and professional growth. We need our engineers to be hard working, authentic, adaptable, approachable and be enthusiastic to take on new problems across the full-stack as the company grows.",-1,NumberOne AI,"Tustin, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$85K,"Position Overview
Human Care Systems is seeking a Data Scientist to analyze, aggregate, manipulate, and visualize data to report on program performance and identify opportunities for program development or enhancement to increase the positive impact on patients’ lives. The Data Scientist will be responsible for the development of reporting and dashboards for internal and client-facing teams, along with ad hoc reports and analyses. The Data Scientist will support HCS as a value-add business partner to our clients, providing near real-time analytics that have real-world impact.
About Human Care Systems: HCS is the Treatment Experience company – we deliver on our mission to positively impact patients’ lives through improved access, use, experience and outcomes with medication. Our customers are biopharmaceutical companies (large to small) seeking to improve therapy initiation and adherence. Our team members are highly motivated, smart, collaborative, and hard-working. HCS was founded in 2008 by Matt Hall and Thom Doyle and is based in Boston. We have about 100 employees and are profitable and growing.",2.6,"Human Care Systems
2.6",Remote,-1,51 to 200 Employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1
