Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,Employer Provided Salary:$101K - $165K,"Your Opportunity

Are you all about leveraging data to provide customers better products and grow business? Then we want you!


We are looking for qualified candidates to design, develop, implement and monitor scalable machine learning solutions for dynamic financial products, deliver insights from complex data structures with clear narratives and creative visualizations. People who can work collaboratively and partner closely with a cross functional team to develop, deploy, verify product quality, and maintain the predictive model lifecycle to help provide business value for the organization.",3.9,"Charles Schwab
3.9","Austin, TX",-1,10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
Data Scientist,Employer Provided Salary:$48 - $58 Per Hour,"Job Post: Data Scientist II
Number of Positions: 2
Duration: 06 Months
Location: Works From Home/Colorado
Description:
Some of the characteristics the manager is looking for in a contractor for this role are:
Knowledge and experience in building and analyzing linear regression, logistic regression, generalized linear models, and time-series models",-1,Tech True Up,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,Employer Provided Salary:$53K - $110K,"KesarWeb is an industry-leading software solutions provider as well as an IT training provider for over a decade now.
Position: Strictly W2 Only
Responsibilities:
Work with developers to design algorithms and flowcharts
Produce clean, efficient code based on specifications
Integrate software components and third-party programs
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software",-1,KesarWeb,"Point a la Hache, LA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$58 - $63 Per Hour,"Data Scientist
12months- Irving TX(Remote for now)
provides their expertise to a team of data engineers, data scientists, and ml engineers to help develop, design, and implement data-driven services to improve Client’s eCommerce platform.
To accomplish this, the position will require extensive knowledge of data analytics and modeling to ensure that best practices are used when developing these initiatives.
Due to the variety of areas this team will execute within, the Data Scientist may need to research approaches/concepts and translate that information into a valid solution.",-1,veritis group inc,"Irving, TX",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$85K - $139K,"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

16",3.8,"Liberty Mutual Insurance
3.8",Remote,-1,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist- Full Time,-1,"We Are Hiring:
Why join Ascension?
Caring Team: Working together as a team, our associates are incredibly supportive of each other and care for each other as family.
More Than a Job: Working for Ascension is more than just a job. It’s a career where your talent and passion for delivering quality healthcare can make a difference for patients, team members, and the community. With a mission established 100 years ago, your role on the team will contribute to a legacy that has supported our community for over a century.
Strength in our People: At Ascension, we believe our people are our strength and we invest in them. In addition to the chance to have a positive impact on the people and communities we serve, associates benefit from significant professional opportunities, career advancement, training and competitive wages. Tuition reimbursement for qualifying degree programs. We also support work-life balance and spirituality in the workplace.
What You Will Do:
What You Will Need:
Additional Preferences:
Why Join Our Team:



Equal Employment Opportunity Employer:








E-Verify Statement:",3.5,"Ascension
3.5","South Jacksonville, FL",-1,10000+ Employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1
"Data Scientist, Analytics",-1,"As a Data Scientist at Facebook, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Facebook, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Facebook. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.",4.3,"Facebook
4.3","Burlingame, CA",-1,10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist,Employer Provided Salary:$24 - $29 Per Hour,"Data Scientist for Halo Solutions
Job Title: Data Scientist
Location: Remote
Terms: Part time, Contract basis
Company Description:
Our central goal at Halo Solutions is helping healthcare organizations use their data more effectively.
Our primary focus right now is preventing missed cancer diagnoses using artificial intelligence. In order to do this, we work closely with data scientists, software engineers, physicians, and hospital administrators, all of whom share a common vision for improving patient health.",-1,Halo Solutions,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx is searching for a Data Scientist in our Ann Arbor, Michigan office ( REMOTE is an option).
Position Overview:
The Data Science and Innovation Lab creates technologies, tools, and products to put data science in the hands of anyone that has a problem to solve. We prioritize quality and customer experience in everything we build.",3.5,"Alteryx, Inc.
3.5",Remote,-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Mathematical Statistician (Data Scientist) or Statistician (Data Scientist),Employer Provided Salary:$109K - $173K,"Duties
Summary
Click on """" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov

Responsibilities",3.7,"US Internal Revenue Service
3.7","Charlotte Amalie, VI",-1,10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
